z,fixedEffect
0.34830633,0.067430004
0.63260877,0.026462082
1.0360085,0.020370435
0.16916583,0.014871395
0.25291997,0.002154485
-0.16952462,-0.037060738
0.30605379,-0.003314456
-0.12418333,-0.019057093
-0.37049663,-0.003314456
-0.086128347,-0.003314456
-0.13266081,0.003954536
0.41043332,0.049578495
0.33878326,0.075189203
0.2734971,-0.003314456
0.33570969,0.039843839
0.47638279,0.04837475
0.53284186,0.11641951
0.46525329,-0.037062697
0.50057733,-0.003314456
-0.35109445,-0.003314456
-0.47874779,-0.036134344
-0.20955485,0.07585299
0.001610951,0.018256798
-0.18951569,-0.039800517
0.055129442,-0.008938183
0.30211791,-0.003314456
-0.47371051,-0.003314456
-0.35082209,-0.11902089
-0.084556565,-0.003314456
0.089177705,0.1078167
-0.30740586,-0.003314456
0.32582778,-0.063070953
0.17753123,0.030619951
-0.010785523,-0.034944609
-0.13073877,-0.031129993
0.88263309,-0.003314456
0.08029633,-0.046335217
-0.25241083,-0.003314456
0.32100689,0.036583677
0.63238412,0.013507982
0.31528056,0.012493693
0.38193625,-0.003314456
0.25383306,-0.025663575
0.74706316,0.1591489
0.46652004,-0.003314456
-0.7087633,-0.003314456
1.035962,-0.003314456
0.081128687,-0.030605102
0.36903363,0.022955447
0.35592571,-0.003314456
0.13817938,-0.036908183
0.26937357,-0.003314456
-0.50682235,-0.011377847
-0.34293827,-0.16021746
-0.160446,0.008472447
-0.46307677,-0.009507599
0.74686664,-0.003314456
0.026825314,-0.003314456
0.52296245,-0.055021226
0.67695671,-0.002886293
0.066887252,-0.095576689
0.043759722,-0.003314456
-0.17141958,-0.003314456
0.7489267,0.13135496
-0.060718831,0.008262365
0.61419755,-0.003314456
0.16618289,0.11283572
-0.25795469,-0.003314456
0.49037048,-0.003314456
-0.43111572,-0.019127265
-0.00072031,-0.003314456
0.13141836,-0.003314456
0.5529297,0.0809021
0.42318484,0.040300727
-0.54750049,-0.003314456
-0.23726486,0.02957074
0.66452187,-0.13796447
0.41073143,-0.003314456
-0.61107141,-0.046394601
-0.58052409,-0.003314456
-0.58052409,-0.003314456
-0.60784662,0.025327319
-0.081315324,0.012406918
0.60349941,-0.012267119
0.24008259,-0.042044088
0.68222761,0.023003211
-0.77130026,-0.003314456
0.33854467,0.10345848
0.032478925,0.032443445
0.7227028,-0.057220142
1.243808,-0.015205262
0.54181504,-0.003314456
-0.30751109,0.046784077
-0.47280714,-0.030354988
0.098978698,-0.003314456
-0.73067611,-0.003314456
-0.33315456,-0.003314456
-0.47482297,0.007546399
0.75807673,0.048139002
-0.21754965,0.040510651
1.0633311,-0.003314456
0.70464057,-0.003314456
-0.003430739,-0.004506517
1.160139,-0.061648287
0.85512501,-0.061648287
-0.84736979,-0.003314456
0.62359595,-0.059721582
-0.4736546,-0.003314456
0.59087735,0.12234662
-0.3694554,-0.003314456
0.34950885,-0.003314456
0.6813783,0.026226645
0.52137184,-0.003314456
-0.18350953,-0.022758452
-0.3921451,0.023340328
0.20583652,-0.073954485
0.20991603,-0.003323278
0.78512239,-0.003314456
0.62738383,-0.003314456
-0.3209396,-0.003314456
-0.35544184,-0.003314456
1.1511406,0.028929386
-0.31573078,-0.037778996
-0.24485806,0.021911822
0.41877127,-0.003314456
0.46598423,-0.034622651
0.14282727,0.047014438
0.19432212,0.11338085
0.51417673,-0.010108602
0.3288365,-0.010108602
0.12611441,-0.003314456
0.85912299,0.005873204
-0.37974894,-0.14198102
0.35862947,-0.06688197
0.57358092,-0.017647194
-1.585094,-0.003314456
0.40670353,-0.003314456
-0.006734942,-0.003314456
-0.31854644,-0.003314456
0.79681689,0.20186831
0.55846083,0.015161881
1.0100055,0.17175454
-0.52073222,0.10782605
0.35573977,0.027374018
-0.24181417,-0.006571519
0.420407,-0.003314456
-0.071128309,-0.15677476
-0.15381245,-0.003702025
-0.15381245,-0.003702025
0.079593591,-0.01916776
0.18229146,-0.003314456
0.15897854,-0.003314456
1.4609439,0.016335595
0.24241656,-0.098167911
0.29118428,-0.098167911
-0.20485194,-0.003150986
0.45424816,-0.003314456
-0.32676154,0.066689312
1.3470088,-0.081891075
-0.41194287,-0.003314456
0.38001677,-0.009644637
0.39358076,0.007757671
0.51324165,-0.030821992
0.26310733,0.081277177
-0.091469601,-0.003314456
-0.43986326,-0.003314456
0.59037215,0.020678474
0.003142485,-0.017063428
-0.034512047,-0.035756588
-0.92867148,-0.02454228
0.2600511,-0.003314456
-0.17296293,-0.007125158
0.1212772,-0.003314456
-0.5108943,-0.003314456
1.8317351,-0.13812526
0.60544103,-0.23063342
-0.44183764,-0.003314456
-0.17009555,-0.01434364
0.15797007,-0.003314456
0.15448564,0.064957149
-0.45312881,-0.093685836
0.25587317,-0.071163177
