pidp,eta_hat,wgt
68059171,-0.357993704,1.210206747
68059171,0.580163417,1.506018758
68059171,-0.618619176,1.763327003
68059171,-0.245807863,1.899906874
68059171,0.10743915,2.03216958
68060525,-0.621653424,0.523807645
68060525,-0.663554199,0.507019162
68060525,-0.052151111,0.48737818
68060525,0.387706216,0.347444385
68060525,0.608511687,0.335245013
68060525,0.160597741,0.31897527
68060525,0.161283638,0.31862241
68060527,0.114984498,1.068876624
68060527,-0.438928936,1.038388371
68060527,0.051736779,1.02361989
68060527,0.042397672,0.990367055
68060527,0.034950934,1.078687668
68060527,0.0492323,1.012876749
68060527,0.062656237,0.966105461
68060527,0.033446849,0.9326244
68060527,0.152498378,0.882670581
68060527,0.088575321,0.809919953
68060527,-0.064418965,0.762512207
68060527,0.044118708,0.732963383
68060531,0.193753486,1.076233745
68060531,-0.470149953,1.033805728
68060531,0.050887037,1.019102454
68060531,0.13187603,0.985996366
68060531,-0.044512835,1.085423112
68060531,0.118573182,1.019201398
68060531,0.072923977,0.965295672
68060531,0.046222778,0.931842625
68060531,0.020970421,0.881930649
68060531,-0.088968009,0.809240997
68060531,0.087627026,0.761873066
68060531,0.084905145,0.732349038
68060535,0.17990827,0.982570708
68060535,-0.422396566,0.954544187
68060535,0.079910882,0.943617821
68060535,0.053674555,0.919175446
68060535,0.002508325,1.018474102
68060535,0.08873815,0.96411401
68060535,0.062055859,0.924753666
68060535,0.040547146,0.901117086
68060535,0.003303145,0.877717674
68060535,0.139543848,0.811909258
68060535,0.034402969,0.775705814
68060535,0.100835823,0.766012549
68061887,0.489630167,1.508326054
68061887,0.662295642,1.551670074
68061887,0.305219593,1.554888129
68063247,0.044614792,1.098963141
68063247,0.055474592,1.067684531
68063247,-0.131231117,1.056438088
68063247,-0.20446405,1.033683896
68063247,-0.924085125,1.278203726
68063247,0.252932667,1.255782604
68063247,-0.160471585,1.20899117
68063247,0.109613205,1.188152671
68063247,0.121912044,1.142851591
68063247,0.30852425,1.064440727
68063247,-0.225635191,1.090133309
68063247,0.182997296,1.06134522
68063251,0.027385422,1.198458314
68063251,0.083421085,1.179284811
68063251,-0.072940367,1.166862726
68063251,-0.203318933,1.14173007
68063251,-0.909199255,1.382181406
68063251,0.202416943,1.357936382
68063251,-0.129855958,1.318879724
68063251,0.121427452,1.296147108
68063251,0.213158958,1.246728539
