pidp,alpha_sim,wgt_indiv
68474647,-.043424375,2.646757125854492
68474651,-.023991285,1.495247364044189
68479407,.035709515,1.264685869216919
68479411,.1066583,1.209792613983154
68479415,.073746055,1.239938378334045
68480087,.034069642,1.293287873268127
68480091,.027984614,1.371357202529907
68480095,.036696941,1.579487323760986
68480767,.031233927,1.528501272201538
68480771,.053398136,1.544668197631836
68481445,.0086299786,1.198092103004456
68481447,.095253386,1.21469259262085
68481449,.11140957,1.042651653289795
68483487,-.11817256,1.242500185966492
68483491,-.1097982,1.308334708213806
68484167,.042520575,1.50151801109314
68484171,.044146299,2.06732964515686
68484847,-.073792264,1.089819192886353
68484851,-.097881742,1.586695194244385
68484855,-.055766732,1.981378197669983
68486887,-1.2617115,1.550500512123108
68488927,-.097223841,1.40284252166748
68489607,.019334663,1.238412499427795
68489611,.010560065,1.37639582157135
68489615,.019030528,1.515898585319519
68489619,.016391976,1.515898585319519
68493687,-.040200718,1.942984819412231
68493691,-.022075672,1.557612657546997
68493695,-.042966023,1.751636028289795
68493699,-.017454999,1.757901787757874
68494367,-.030460024,1.683362603187561
68496568,.10893339,1.30094838142395
68506607,-.057858966,1.51180636882782
68506611,-.086490147,2.051409959793091
68506615,-.025552589,1.951988697052002
68508647,.11308803,.7843819260597229
68508651,.094784394,1.091143608093262
68510007,.096991092,.8914065957069397
68510011,.081375331,.9152215719223022
68510015,-.59467787,2.007318496704102
68510687,-.052593265,.9841873645782471
68511367,-.03332207,.9366455078125
68511371,-.044345751,1.024488806724548
68511375,.0014713156,1.762146353721619
68512727,-.021692239,1.104619741439819
68512731,-.0073735714,1.018251895904541
68513407,-.01010854,1.675620198249817
68513415,.0071390551,1.671586751937866
68513419,.0021844662,1.671586751937866
68515447,.085226461,.9644727110862732
68515451,.096799254,.9217001795768738
68529727,-.021975704,1.72059178352356
68530407,-.02059924,.8474891185760498
68535167,.0066494592,1.032404899597168
68535171,.0093061225,1.21467113494873
68537207,-.009537749,1.177297472953796
68537887,.038755819,1.203938007354736
68538567,.10292815,.9983823895454407
68539247,.1978346,.8631986975669861
68539251,.169269,.9617950916290283
68539927,.20354225,1.086518883705139
68544691,-.10524395,1.653262615203857
68545371,.0064153471,1.296813368797302
68546047,-.070771933,1.21563982963562
68548087,-.12242523,.7900538444519043
68548091,-.11951109,.8384635448455811
68548095,-.10896592,.9711783528327942
68548099,-.11318467,.9748069047927856
68550127,.045170944,1.007986903190613
68555567,.22149107,1.645408511161804
68556247,.13926619,1.150922298431396
68561007,.22064061,.8319804668426514
68561011,.193027,.8556899428367615
68561015,.23449163,.9418559670448303
68561019,.24077144,.9291024804115295
68563047,.16103107,1.25033962726593
68565087,.067189768,1.001414060592651
68565091,.064782567,1.045806765556335
68565095,.04564574,2.039913415908813
68565767,.046303205,1.176719069480896
68567805,-.050085973,1.225586891174316
68567809,-.0677571,1.716471076011658
68568485,.0044345655,1.308737874031067
68569165,-.064573795,1.090285658836365
68569169,-.065969862,1.049004435539246
68569847,.089295171,1.20123016834259
68569851,.095634438,1.063048839569092
68571205,.046194676,1.146612763404846
68571207,.098032989,.7802326083183289
68571211,.074238464,.8652848601341248
68573245,-.057553172,1.663636922836304
68573249,-.05545776,1.708484411239624
68573253,-.12175681,2.152650117874146
68573927,-.081696048,2.354805469512939
68573935,-.061096102,1.742182612419128
68574607,.1346342,.9339702129364014
68574611,.13949019,.9209540486335754
68575973,.045194574,.2394999563694
68577327,-.051398769,1.461464047431946
68578689,-.00252865,1.45638632774353
68580727,.12157764,1.074597835540771
68580731,.11721652,1.041155457496643
68580735,.13513876,1.027779221534729
68580739,.14539175,.9391039609909058
68582767,.028392682,.9849905371665955
68582771,.041167956,1.045722961425781
68590247,-.028859556,1.536999344825745
68590927,-.0048710159,1.507261991500854
68590931,-.023815921,1.387820720672607
68592967,.084213287,3.114832878112793
68593715,-.011509419,1.38304603099823
68595007,-.1216372,2.244725704193115
68595015,-.085419193,1.827184438705444
68596367,.019505104,1.224888443946838
68596375,.057637714,.8651431202888489
68596379,.069149241,.9548861384391785
68597047,.0031580585,2.132968902587891
68597727,-.1675538,.5421624183654785
68597731,-.073582105,.5759839415550232
68598407,.046708766,1.228849411010742
68598415,-.22051945,1.428946137428284
68598475,.17040282,1.654564499855042
68601127,-.040937457,1.127676129341125
68602487,-.017426508,1.347358822822571
68604527,.10443655,1.33150589466095
68605207,.016468732,1.156341075897217
68605211,.025035705,1.472210764884949
68605215,.025189785,1.068820953369141
68605219,.024441943,1.168815612792969
68605223,.018962452,1.037157535552979
68605887,-.042071171,1.229357004165649
68605895,-.042514317,1.15057373046875
68605899,-.047273681,1.321083545684814
68607927,-.062017549,1.234277367591858
68610647,.3380214,.6906665563583374
68610651,.33824921,.619418740272522
68611327,-.003417101,.8348473906517029
68611331,-.010823123,.8080832958221436
68612687,-.076763794,1.056451916694641
68613367,.039913554,1.040055871009827
68613375,.046334404,1.12891149520874
68615407,.0027482086,.8228904008865356
